(1373)Cincinnati
0.001186 10000 100 100
3.41848 0.314948 0.679608 1.72843 5.19186 
3.41824 0.3149 0.679616 1.72849 5.19181 
3.41801 0.314852 0.679627 1.72853 5.19178 
3.41781 0.314808 0.679638 1.72855 5.19176 
3.41764 0.314769 0.679647 1.72857 5.19175 
3.41751 0.314734 0.679653 1.72858 5.19175 
3.41742 0.314704 0.679656 1.7286 5.19175 
3.41736 0.314676 0.679656 1.72862 5.19175 
3.41732 0.31465 0.679652 1.72866 5.19175 
3.41731 0.314624 0.679647 1.7287 5.19174 
3.41732 0.314598 0.679639 1.72876 5.19174 
3.41735 0.31457 0.679631 1.72882 5.19173 
3.4174 0.314541 0.679621 1.72889 5.19172 
3.41746 0.314509 0.679612 1.72896 5.19171 
3.41754 0.314474 0.679602 1.72904 5.1917 
3.41762 0.314437 0.679594 1.72913 5.19168 
3.41772 0.314397 0.679586 1.72921 5.19166 
3.41782 0.314353 0.679579 1.72929 5.19165 
3.41794 0.314307 0.679573 1.72937 5.19163 
3.41806 0.314258 0.679569 1.72944 5.19161 
3.41819 0.314207 0.679565 1.7295 5.19159 
3.41832 0.314153 0.679563 1.72955 5.19158 
3.41846 0.314098 0.679561 1.7296 5.19156 
3.4186 0.314041 0.67956 1.72963 5.19155 
3.41875 0.313982 0.67956 1.72965 5.19154 
3.4189 0.313923 0.67956 1.72965 5.19154 
3.41905 0.313864 0.67956 1.72964 5.19153 
3.4192 0.313805 0.67956 1.72962 5.19153 
3.41936 0.313747 0.67956 1.72958 5.19153 
3.41951 0.313689 0.679559 1.72953 5.19154 
3.41967 0.313634 0.679558 1.72947 5.19154 
3.41982 0.31358 0.679555 1.72939 5.19155 
3.41998 0.313528 0.679552 1.7293 5.19156 
3.42013 0.313479 0.679547 1.7292 5.19158 
3.42028 0.313434 0.679541 1.72909 5.19159 
3.42043 0.313391 0.679534 1.72897 5.1916 
3.42058 0.313353 0.679525 1.72885 5.19162 
3.42073 0.313318 0.679515 1.72872 5.19163 
3.42087 0.313287 0.679503 1.72858 5.19165 
3.42101 0.31326 0.67949 1.72845 5.19166 
3.42115 0.313237 0.679477 1.72831 5.19167 
3.42128 0.313219 0.679462 1.72818 5.19168 
3.42141 0.313204 0.679447 1.72805 5.19169 
3.42153 0.313194 0.679431 1.72793 5.19169 
3.42165 0.313187 0.679415 1.72781 5.19169 
3.42176 0.313183 0.679399 1.7277 5.19169 
3.42186 0.313182 0.679384 1.72761 5.19169 
3.42195 0.313183 0.67937 1.72753 5.19168 
3.42203 0.313185 0.679358 1.72746 5.19167 
3.4221 0.313188 0.679347 1.7274 5.19165 
3.42215 0.31319 0.679338 1.72736 5.19164 
3.42217 0.313191 0.679332 1.72732 5.19162 
3.42218 0.313189 0.679329 1.7273 5.1916 
3.42216 0.313184 0.679328 1.72728 5.19158 
3.42212 0.313176 0.679331 1.72725 5.19156 
3.42205 0.313165 0.679336 1.72723 5.19154 
3.42197 0.313151 0.679344 1.72719 5.19153 
3.42187 0.313137 0.679354 1.72714 5.19151 
3.42175 0.313121 0.679365 1.72707 5.1915 
