Jupiter
0.001186 10000 100 100
5.2029 0.0484 0.0228 4.7874 1.7523 
5.2029 0.0483978 0.0228 4.78877 1.7523 
5.2029 0.048391 0.0228 4.79012 1.7523 
5.20289 0.0483799 0.0228 4.79147 1.7523 
5.20288 0.0483644 0.0228 4.79279 1.7523 
5.20287 0.0483446 0.0228 4.79409 1.7523 
5.20286 0.0483207 0.0228 4.79536 1.7523 
5.20285 0.0482928 0.0228 4.79658 1.7523 
5.20283 0.048261 0.0228 4.79777 1.7523 
5.20281 0.0482256 0.0228 4.7989 1.7523 
5.20279 0.0481868 0.0228 4.79998 1.7523 
5.20277 0.0481447 0.0228 4.801 1.7523 
5.20275 0.0480997 0.0228 4.80195 1.7523 
5.20272 0.0480519 0.0228 4.80284 1.7523 
5.2027 0.0480017 0.0228 4.80366 1.7523 
5.20267 0.0479492 0.0228 4.8044 1.7523 
5.20265 0.0478948 0.0228 4.80507 1.7523 
5.20262 0.0478387 0.0228 4.80566 1.7523 
5.20259 0.0477813 0.0228 4.80617 1.7523 
5.20256 0.0477227 0.0228 4.8066 1.7523 
5.20253 0.0476633 0.0228 4.80695 1.7523 
5.2025 0.0476033 0.0228 4.80721 1.7523 
5.20247 0.0475429 0.0228 4.8074 1.7523 
5.20244 0.0474825 0.0228 4.8075 1.7523 
5.20241 0.0474223 0.0228 4.80752 1.7523 
5.20238 0.0473624 0.0228 4.80747 1.7523 
5.20235 0.0473032 0.0228 4.80733 1.7523 
5.20232 0.0472449 0.0228 4.80712 1.7523 
5.2023 0.0471876 0.0228 4.80683 1.7523 
5.20227 0.0471316 0.0228 4.80647 1.7523 
5.20224 0.0470771 0.0228 4.80604 1.7523 
5.20222 0.0470241 0.0228 4.80554 1.7523 
5.20219 0.046973 0.0228 4.80498 1.7523 
5.20217 0.0469238 0.0228 4.80435 1.7523 
5.20214 0.0468768 0.0228 4.80367 1.7523 
5.20212 0.0468319 0.0228 4.80292 1.7523 
5.2021 0.0467894 0.0228 4.80213 1.7523 
5.20208 0.0467494 0.0228 4.80128 1.7523 
5.20206 0.046712 0.0228 4.80039 1.7523 
5.20205 0.0466772 0.0228 4.79945 1.7523 
5.20203 0.0466452 0.0228 4.79848 1.7523 
5.20202 0.0466161 0.0228 4.79747 1.7523 
5.202 0.0465898 0.0228 4.79642 1.7523 
5.20199 0.0465665 0.0228 4.79535 1.7523 
5.20198 0.0465463 0.0228 4.79425 1.7523 
5.20197 0.0465291 0.0228 4.79313 1.7523 
5.20197 0.046515 0.0228 4.79199 1.7523 
5.20196 0.0465041 0.0228 4.79083 1.7523 
5.20196 0.0464964 0.0228 4.78967 1.7523 
5.20196 0.0464918 0.0228 4.78849 1.7523 
5.20196 0.0464904 0.0228 4.78732 1.7523 
5.20196 0.0464922 0.0228 4.78614 1.7523 
5.20196 0.0464973 0.0228 4.78497 1.7523 
5.20196 0.0465055 0.0228 4.78381 1.7523 
5.20197 0.0465168 0.0228 4.78265 1.7523 
5.20198 0.0465313 0.0228 4.78152 1.7523 
5.20198 0.0465489 0.0228 4.7804 1.7523 
5.20199 0.0465696 0.0228 4.7793 1.7523 
5.20201 0.0465933 0.0228 4.77823 1.7523 
5.20202 0.04662 0.0228 4.77719 1.7523 
5.20203 0.0466495 0.0228 4.77618 1.7523 
5.20205 0.0466819 0.0228 4.77521 1.7523 
5.20207 0.0467171 0.0228 4.77428 1.7523 
5.20208 0.0467549 0.0228 4.7734 1.7523 
5.2021 0.0467952 0.0228 4.77256 1.7523 
5.20212 0.0468381 0.0228 4.77177 1.7523 
5.20215 0.0468832 0.0228 4.77103 1.7523 
5.20217 0.0469306 0.0228 4.77036 1.7523 
5.20219 0.0469801 0.0228 4.76974 1.7523 
5.20222 0.0470314 0.0228 4.76918 1.7523 
5.20225 0.0470846 0.0228 4.76869 1.7523 
5.20227 0.0471394 0.0228 4.76827 1.7523 
5.2023 0.0471956 0.0228 4.76792 1.7523 
5.20233 0.047253 0.0228 4.76765 1.7523 
5.20236 0.0473115 0.0228 4.76745 1.7523 
5.20239 0.0473708 0.0228 4.76732 1.7523 
5.20242 0.0474307 0.0228 4.76727 1.7523 
5.20245 0.0474909 0.0228 4.76731 1.7523 
5.20248 0.0475514 0.0228 4.76742 1.7523 
5.20251 0.0476117 0.0228 4.76762 1.7523 
5.20254 0.0476716 0.0228 4.7679 1.7523 
5.20256 0.047731 0.0228 4.76826 1.7523 
5.20259 0.0477894 0.0228 4.7687 1.7523 
5.20262 0.0478467 0.0228 4.76922 1.7523 
5.20265 0.0479025 0.0228 4.76982 1.7523 
5.20268 0.0479567 0.0228 4.7705 1.7523 
5.2027 0.0480088 0.0228 4.77125 1.7523 
5.20273 0.0480587 0.0228 4.77208 1.7523 
5.20275 0.0481061 0.0228 4.77298 1.7523 
5.20277 0.0481508 0.0228 4.77394 1.7523 
5.2028 0.0481924 0.0228 4.77497 1.7523 
5.20281 0.0482308 0.0228 4.77605 1.7523 
5.20283 0.0482657 0.0228 4.7772 1.7523 
5.20285 0.0482969 0.0228 4.77838 1.7523 
5.20286 0.0483243 0.0228 4.77962 1.7523 
5.20287 0.0483476 0.0228 4.78089 1.7523 
5.20288 0.0483668 0.0228 4.78219 1.7523 
5.20289 0.0483817 0.0228 4.78352 1.7523 
5.2029 0.0483922 0.0228 4.78487 1.7523 
5.2029 0.0483983 0.0228 4.78623 1.7523 
5.2029 0.0484 0.0228 4.78758 1.7523 
5.2029 0.0483971 0.0228 4.78894 1.7523 
5.20289 0.0483898 0.0228 4.7903 1.7523 
5.20289 0.0483781 0.0228 4.79164 1.7523 
5.20288 0.0483621 0.0228 4.79296 1.7523 
5.20287 0.0483417 0.0228 4.79426 1.7523 
5.20286 0.0483173 0.0228 4.79552 1.7523 
5.20284 0.0482888 0.0228 4.79674 1.7523 
5.20283 0.0482566 0.0228 4.79792 1.7523 
5.20281 0.0482207 0.0228 4.79904 1.7523 
5.20279 0.0481815 0.0228 4.80011 1.7523 
5.20277 0.048139 0.0228 4.80113 1.7523 
5.20275 0.0480936 0.0228 4.80207 1.7523 
5.20272 0.0480455 0.0228 4.80295 1.7523 
5.2027 0.047995 0.0228 4.80376 1.7523 
5.20267 0.0479422 0.0228 4.80449 1.7523 
5.20264 0.0478876 0.0228 4.80515 1.7523 
5.20261 0.0478314 0.0228 4.80573 1.7523 
5.20259 0.0477737 0.0228 4.80623 1.7523 
5.20256 0.047715 0.0228 4.80665 1.7523 
5.20253 0.0476555 0.0228 4.80699 1.7523 
5.2025 0.0475954 0.0228 4.80724 1.7523 
5.20247 0.0475351 0.0228 4.80742 1.7523 
5.20244 0.0474747 0.0228 4.80751 1.7523 
5.20241 0.0474145 0.0228 4.80752 1.7523 
5.20238 0.0473547 0.0228 4.80745 1.7523 
5.20235 0.0472956 0.0228 4.80731 1.7523 
5.20232 0.0472374 0.0228 4.80709 1.7523 
5.20229 0.0471803 0.0228 4.80679 1.7523 
5.20226 0.0471244 0.0228 4.80642 1.7523 
5.20224 0.0470701 0.0228 4.80598 1.7523 
5.20221 0.0470174 0.0228 4.80547 1.7523 
5.20219 0.0469665 0.0228 4.8049 1.7523 
